Word,Count
ai,819
troca,34
imitando,17
HAHAHAHAHAHAAH,1
continua,191
apoiadora,9
fã,225
Trump,435
mulher,599
armamentista,14
feminina,18
hétero,102
direitista,45
capitalista,37
nacionalista,56
patriota,125
otimista,3
mãe,281
decente,55
pai,682
presente,65
irritar,16
comece,21
mimimi,142
laqueadura,3
índias,1
pergunto,67
saberá,8
colocar,356
entrevista,94
Nunes,12
evento,83
anexo,3
compacto,1
link,80
completa,34
verdadeira,81
passou,148
denunciando,11
hipocrisia,175
Malala,38
pio,6
omissão,16
eleitoreira,5
promovida,4
junho,13
Hitler,81
achava,40
inteligente,219
considera,32
feito,266
popular,49
população,213
alienada,18
Retweeted,218
FridaSíKahlo,1
en,29
momentos,8
organiza,8
una,9
conservadora,79
al,19
nefasto,10
sao,104
entender,315
representa,98
preciso,194
clareza,7
imaginário,6
liderança,55
sintoma,12
Foquem,3
causa,431
senão,73
arrumar,52
vejo,467
intenções,28
pontada,1
estômago,15
fodido,24
velho,140
Affff,8
voz,78
suficiente,75
hahaha,141
livre,131
policial,74
morto,133
entendem,45
brasileiro,657
sente,33
nojo,194
resume,23
anti,105
ligam,11
telão,12
romantizam,1
grama,4
nasce,23
diva,11
pop,28
combate,33
brigadeirodias,1
perceberam,29
acreditando,38
resolveram,10
maquiar,5
índice,25
notícia,286
ficar,514
pior,739
ganha,114
diretor,8
conseguirá,18
Amoedo,222
criou,46
partido,736
buscando,23
partilham,4
vereadores,11
ja,348
mostraram,8
resultado,113
alguem,116
faca,12
mão,267
incitar,8
ae,13
faltam,18
haverá,36
status,19
fiquem,28
invencível,1
EuVotoBolsonaro17,64
EsquerdaNuncaMais,4
acordo,138
estaduais,2
perde,88
lê,53
elogio,34
trabalhadores,30
incentivado,3
cometer,11
atirar,24
luta,177
trata,111
clara,76
ultrapassa,8
Espírito,17
Santo,111
Sul,6
aceita,99
dói,23
NaocurtiuvaiparaCuba,2
deparo,12
algum,375
parente,63
amigo,734
apoiando,95
Alertem,2
isentões,57
moram,12
esconde,35
reais,91
negado,6
alardeado,1
abertamente,49
implantar,26
comunismo,198
etc,383
única,181
manchete,65
correta,42
Lularapio,5
inelegível,28
Brasília,107
melhorar,61
economia,212
quebra,53
militarizar,1
disciplina,15
respeito,338
patria,9
ensino,22
achincalhar,4
religiao,2
alheia,30
pedir,104
licença,8
mandato,149
sabendo,110
faltar,26
salário,79
consegue,222
sobreviver,21
entende,171
realidade,129
econômica,42
brasileira,132
so,423
senso,71
puta,101
apanha,5
gosta,273
Êta,2
porreta,3
eh,451
preocupar,39
formar,30
patrimonio,2
meter,43
pé,101
idiotizado,6
principal,60
plataforma,16
pública,96
apoiava,6
interessa,63
discutir,89
milícia,49
controla,11
áreas,10
RM,2
simplesmente,143
maiores,91
questões,54
elegeu,35
adianta,208
falasse,20
rejeição,68
baixa,36
fortemente,7
parou,27
crescer,56
fenómeno,2
prescisa,1
combatido,11
ignorar,38
claro,438
explica,51
filho,467
negocia,8
Paes,2
RetuíteSeVocê,6
aguenta,48
administração,21
catarrada,1
falando,772
ajuda,154
poderia,178
Bolsonazi,19
merda,896
galáctica,1
assusta,35
repercussão,19
negativa,25
desmente,10
seguem,67
começam,27
relinchar,2
atacar,87
publicou,8
gravação,10
fato,577
pesadelo,34
escutar,29
implantou,4
doutrinar,7
roxo,7
acabaram,36
militarismo,12
funcionavam,1
nazismo,37
paulistano,4
galera,395
voya,1
aq,26
prefere,83
capixaba,4
votou,120
cheirando,1
mortadela,63
palanque,23
capitão,193
judiciário,126
condenou,6
culpado,44
injustamente,8
coerência,65
discurso,492
falam,220
ladrao,19
volta,157
Cuba,86
comunista,621
Peruíbe,4
manda,119
retirar,7
sonhei,24
tava,267
restaurante,25
família,521
sentou,7
mesa,44
comecei,28
tacar,5
monte,128
lata,14
copo,5
começou,135
ajudar,154
desgrama,3
levantar,21
vazar,5
amei,34
estao,49
filhp,1
lol,14
almoçar,5
horário,14
desenhar,21
parar,170
risada,26
colorir,1
vi,612
amarem,1
intensidade,4
apoios,26
ampliados,1
acreditar,167
recurso,53
derradeiro,1
página,177
triste,216
foco,62
processo,140
devida,2
fiscalização,5
FFAA,53
exigir,22
aplica,14
vontade,199
vocação,1
justiça,243
militar,208
escreveu,50
colunista,12
Resistente,6
problema,696
escrito,51
desce,18
mandam,16
mensagem,59
elejam,9
descobre,18
faltou,56
história,273
intervenção,83
geografia,4
matemática,7
furada,6
agrotóxico,4
básico,19
admiro,35
dobrado,4
NOM,5
URSAL,2
UNASUL,8
Mercosul,6
infiltrado,16
estaria,93
Deus,439
juízes,48
safado,112
ladrão,182
solto,76
articulações,6
Ahh,22
assume,53
mito,366
Fernanda,6
maravilhosa,33
acompanho,31
Terça,10
adoro,54
conteúdo,48
Parabéns,423
atacada,10
postagem,83
contexto,87
acusando,29
pedofilia,130
petista,481
nação,170
estranho,100
Rússia,28
ignorante,167
mentiroso,100
post,199
Facebook,274
SC,23
alinhando,6
dando,208
mínima,23
precisamos,233
senadores,18
apoiem,25
varrer,12
corvos,1
àquele,6
rachando,5
Go,35
Ahead,1
decidida,4
escolha,183
voce,201
usam,67
termo,87
defensor,80
ameaça,111
provável,32
ataquem,5
tulla,1
Gretchen,8
futuro,179
azar,25
vida,633
serem,114
pudesse,40
querer,353
mudança,172
estimação,21
comandaram,1
mudou,71
classe,91
continuarmos,4
ritmo,12
estara,5
ensinando,9
marxismo,7
receber,110
Primeiramente,26
LDO,7
