Word,Count
simplificar,2
conseguiu,33
alguma,77
governabilidade,7
esquema,8
jogou,6
buraco,13
Amanhã,9
aparecer,17
formula,2
mágica,4
verdadeira,14
acabar,51
miséria,10
apoiar,29
ideia,82
PF,14
achou,12
pedindo,16
prazo,5
investigação,18
falando,132
igual,113
hein,59
liberal,47
liberdade,34
cachaceiro,4
simpatizante,5
votando,20
ocasiões,3
TRENSALEIRO,1
perdoa,2
mi,4
acusada,2
cartel',1
penso,23
simultaneamente,2
diferenciará,1
justamente,20
geração,8
reforma,25
PMDB,25
fizeram,37
perdendo,11
kkkkkkkkkkkkkkkk,2
virou,33
lidera,4
intenção,17
feita,13
Distrito,1
federal,12
resultado,46
divulgado,5
centrão,86
reage,2
líder,31
estável,2
previsível,3
bloco,11
medo,125
levar,54
rasteira,7
ética,6
Acorda,20
15h,1
GO,10
recebe,22
programa,34
governo,263
Inscreva,1
vivo,22
Facebook,12
youtube,11
envie,1
pergunta,57
destruição,2
MDB,38
Olha,125
tb,54
péssimo,15
metrô,64
Márcio,3
França,12
saiu,40
Furnas,2
quantos,16
existe,83
chance,118
preso,152
pensando,27
conversa,47
vi,83
devo,7
acreditar,30
apoiadores,21
quase,79
apoiam,17
dedicar,5
gestão,60
imbecis,6
candidataram,1
inúmeras,6
cansado,12
fachada,2
boneco,4
começou,35
sombra,7
continuar,51
mostre,11
feito,62
Câmara,25
pensam,16
vê,43
inutilidade,3
espalhador,1
pastel,2
feira,13
faltou,19
caldo,2
cana,8
sonho,15
acontecer,31
Delator,17
entregou,10
aliança,40
DEM,38
cabeça,34
Imobilizado,1
rs,27
imobilizada,1
candidatura,89
consegue,54
rabeira,5
liderando,1
Estadão,16
dono,23
gasta,1
cerca,9
Twitter,48
semana,51
tuites,1
impulsionados,1
pagam,8
escolheu,2
espantalho,2
espanta,4
existem,18
apoia,37
FERRÔ,1
reeditar,3
falsa,8
oposição,45
jogando,4
busca,6
combater,11
ameaça,19
unido,8
farinha,3
comendo,5
digo,25
aspirando,1
ordem,36
preferencia,2
vergonha,87
praticando,3
censura,1
cancelar,1
conta,95
serviço,27
medida,24
sabendo,21
defendem,13
interferência,1
estatal,14
diferente,82
falar,222
Frota,6
viu,58
política,199
dentre,14
arrghh,1
direito,85
querendo,36
cuzão,2
feio,24
marmanjo,2
negócio,20
Jueei,1
difícil,60
xuxu,43
praga,3
jeito,63
freakshow,1
Encerra,2
carreira,27
viver,13
renda,11
roubou,13
honrar,3
juramento,1
médico,13
SUS,6
farra,3
fiscal,13
congresso,39
legado,3
conivência,3
passará,5
vendendo,9
esperança,9
lo,79
projeto,59
ninguém,162
lulopetismo,2
SQN,10
proposta,88
partido,428
divulgar,8
Fernando,9
Desarmamentista,1
pró,14
ideologia,19
gênero,4
aborto,38
pátria,4
tt,5
bêbado,2
boteco,1
choro,6
eterno,13
kkkkkkkkkk,21
Parabéns,75
faltava,6
vocêe,1
foder,6
intensão,1
heim,9
desespero,43
ótima,16
BolsonaroPresidente,40
continue,17
tucana,4
esquerdopata,12
babaca,22
Zé,10
gay,7
pedófilo,2
muro,53
bipolar,3
volta,34
perdido,12
chegou,34
aventurar,1
experiência,29
pública,50
Precisamos,33
PreparadoParaoBrasil,11
brilhante,5
últimos,29
precisa,110
competência,27
voltar,17
crescer,19
segurança,50
paz,16
reeleito,11
tbem,7
indicará,1
STF,74
indicaria,2
bobagem,15
kkk,51
apanhando,2
Villa,10
ctz,3
Bozo,58
ganhará,7
representa,19
aposta,3
escolher,24
poste,8
cabecinha,2
presidiário,13
tumultuada,1
porém,39
farão,10
impedir,14
chegue,2
República,3
exponha,1
PCC,82
surpresa,15
filho,114
like,26
foto,75
pai,77
iguais,25
inclusive,50
plano,43
real,34
MarianaGodoyEntrevista,30
Sr,104
liberar,4
ligação,7
linha,41
azul,5
verde,3
aeeee,1
peloamordedeus,1
aguento,3
pedi,4
nadaaaa,1
saúde,32
funciona,23
tucano,262
solto,73
concorrer,19
foda,25
lei,80
apesar,25
criminoso,37
amo,7
uhuuu,1
contrário,51
ENTENCIONADO,1
ENTERPRETAR,1
TWINT,1
oportunista,21
cabe,15
lembrar,7
JOVENTUDE,1
HOGE,1
NAISCIDA,1
época,41
Copa,27
CONTROLAVA,1
tridente,1
ato,12
Gostei,4
vídeo,27
visão,21
otimista,3
subestimando,1
chuchuzice,1
cresce,8
Goiás,18
ultrapassa,1
Quadruplicou,1
ChamaOMeirelles,3
tratando,7
barganh,1
estrutura,7
partidária,10
dificilmente,9
perde,45
ganha,51
vota,67
etc,80
claro,94
mercado,50
preocupado,25
possa,7
vir,19
intervir,4
economia,52
anteriores,7
tranquilo,15
garantia,3
irão,17
ni,1
palos,1
la,21
discierne,1
decía,1
el,2
General,6
si,18
fuera,2
tan,1
simple,45
influir,1
en,3
op,8
AMLO,1
debería,1
haber,1
ganado,1
ganó,1
Doria,153
deberían,1
encuestas,1
Prof,5
disfarça,2
condenado,59
inelegível,5
centro,25
ajuda,29
grátis,4
unico,5
eh,60
fator,2
venha,13
público,62
criticar,19
chave,6
lealdade,1
depender,1
mim,61
CangaCiro,10
Ceará,9
alfineta,1
moleza,1
ajuste,2
inimigo,31
mentirosa,2
corrupta,1
desgraça,18
concorda,22
centao,1
2o,2
unir,14
viavel,2
Jeisael,1
sair,64
coligação,15
Roseana,2
tentativa,18
apoiado,16
posicionou,7
fortemente,2
generalizada,1
rabo,20
demora,5
investigações,8
Marielle,1
sozinho,16
nenhum,97
Confesso,8
preocupa,16
eleito,74
urticária,1
esperaria,1
ações,15
anunciou,3
invadiram,2
roubaram,8
casa,67
ridículo,26
sindico,4
condomínio,2
Pindamonhagaba,2
MACHADO,1
ministério,21
educação,127
privatizar,15
permanecem,3
páreo,4
acaba,28
resto,47
assistência,4
apostar,11
nisso,32
algum,69
sugerir,6
nação,19
indique,2
companhia,20
dó,9
único,47
positivo,7
mentira,50
votarão,4
GHC,1
estarão,3
CAIAM,2
voce,24
cérebro,18
vote,26
SALVARÁ,1
ConhecerEleições2018,1
privatizou,7
pratica,5
realidade,32
enfrentando,2
obstaculos,1
PEC51,1
leu,13
coxinha,13
Troxinha,1
TSE,23
juga,1
processo,82
Lava,3
jato,2
enviado,6
esqueci,8
gt,17
the,13
post,33
tumulto,5
Antagonista,11
entendendo,5
Croácia,3
facista,6
BODAS,1
ouro,6
pesa,4
acabou,42
foco,16
passa,57
paraas,1
insistirá,1
estacionado,1
disputam,1
veio,17
resolver,12
brasileiro,105
melhore,27
preciso,32
pensar,35
reduzir,12
criar,19
puta,25
profissional,4
morreu,16
prometeu,8
Rodoanel,46
mudou,28
2º,1
quantidade,16
estações,3
pressas,4
saída,21
terminadas,1
população,64
Affff,5
falou,107
dada,13
InfoMoney,1
governada,2
sarampo,1
voltando,9
desgoverno,5
esquerdista,65
enrustido,5
Matrix,1
retrógrada,1
eleição,149
HB,1
soh,5
votarei,26
nele,56
contras,2
duelo,1
chama,30
mito,51
chamo,2
tiro,14
merda,137
acesso,8
grana,14
suposto,5
RT,12
decisão,38
articulador,4
advogava,1
modo,12
sequer,21
chegaria,2
conseguisse,2
passar,52
parar,33
dinhero,1
merenda,130
gravar,1
mande,5
usando,22
Valendo,1
picareta,5
brinde,3
piores,12
policiais,4
civis,1
despeito,2
rico,24
federação,6
senhor,125
acordo,43
investir,5
transferir,1
surtindo,1
efeito,6
Mara,2
Gabrilli,1
Senado,48
notícia,52
encaixaria,1
funcione,1
evitar,13
retorno,6
Suplicy,1
Maia,17
governam,2
largar,6
osso,6
montaram,2
revezam,1
empresa,44
bosta,46
caralho,18
arruma,6
maquininha,1
carregar,5
bilhete,1
manda,32
lavar,5
dinheiro,65
enterrada,2
Grazadeus,1
equilibrado,5
competente,11
assumir,34
deputada,3
SC,3
preparado,57
merece,23
JuntosPeloBrasil,5
UnidosPorVocê,1
pessoa,62
pega,19
trem,17
7h,1
manhã,7
velocidade,5
reduzida,1
parada,5
golpista,67
retumbante,2
fracasso,8
blindar,1
cuidar,27
situação,34
chegamos,4
começo,11
chega,70
tempos,27
TV,36
diferença,49
danada,1
compensar,3
indo,21
derrubá,2
ti,8
queira,10
Bolsonaro2018,53
varra,1
Soros,11
perguntei,10
aguardo,3
sobrou,9
queria,50
July,4
Out,1
intervenção,12
vigorar,1
dezembro,2
presidenciáveis,11
prorrogação,1
Vera,12
objetivo,13
Aliás,49
marido,12
continua,52
nega,16
raíz,1
globalista,7
trabalhando,15
reforça,3
Pergunte,6
faça,35
substituindo,1
animal,6
light,3
irei,5
assistir,7
Mariana,4
falei,42
discordei,1
caso,140
entrevista,70
Rafael,5
viés,4
pesquise,9
Wikipédia,5
entender,46
raizes,2
socialdemocratas,1
dígito,15
partidário,14
corrida,3
Brasília,18
declara,6
seguinte,16
preparando,4
psicologicamente,1
aversivo,1
opções,20
continuássemos,1
foro,37
criado,4
Chávez,2
qdo,52
moda,4
discurso,74
embuste,12
manchete,8
Poxa,10
Jura,10
decolar,18
tira,17
âncora,4
pé,23
decola,23
gostaria,27
ganhando,4
confia,13
coronel,7
qq,12
retardado,16
Vixi,1
doido,15
bote,2
prá,4
comida,11
vá,31
retro,1
quanta,15
ingenuidade,5
picolé,10
esqueceu,14
combinar,5
Valente,2
aproveite,2
passando,12
TL,4
CRUSH,1
homão,1
porra,60
Edicao10,1
fome,9
pujança,1
fruto,5
sabotagens,1
PRESSIONAM,1
judiciário,61
prender,24
calam,1
manipulam,1
Jucá,18
Beto,3
Richa,24
derrubar,5
Dilma,86
importava,1
viria,2
batalha,6
brigaria,1
desistirr,1
deserção,1
altura,8
olhar,12
conglomerados,1
desastre,14
econômico,21
sinaliza,3
desregulamentações,1
redução,6
estratégico,5
ideológico,9
kkkkkkk,42
ficado,5
expulsado,2
estariam,8
bobão,5
total,37
ridícula,10
votei,38
serem,19
ficarem,4
rodando,3
Pindamonhanga,1
dirigir,2
máquina,10
variar,4
IMPEACHMAN,1
Resumo,3
abandonada,8
seguida,15
inacreditável,4
Pelada,2
rua,36
juiz,56
social,18
media,3
Aecio,37
FIQUEM,1
ATENTO,2
kkkkkkkk,31
PSB,21
neutro,3
une,8
cagando,3
prefake,9
abandonar,13
cargo,62
vira,16
condenador,1
ministro,29
Temmer,1
enfim,34
gosta,36
blabla,1
ilustrei,1
situaçao,1
sorte,26
ai,76
escolha,41
presidenciavel,3
triplicou,3
última,28
quintuplicou,1
Ibope,10
ultrapassando,1
Requião,2
escolhido,7
recorde,3
olho,41
Capez,4
desvio,23
fiz,11
atingiu,4
políticamente,2
pau,7
satanás,3
fico,22
Ferando,2
Registre,2
PTB,14
PV,3
rrsrs,1
balde,3
água,26
Superado,4
Restauraram,1
digna,2
Recuperaram,1
prenderam,4
responsáveis,7
criaram,6
fiscalização,2
exterminador,1
trabalhadores,13
rurais,2
grileiro,4
folpistas,1
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
iria,38
diria,22
infiltrado,4
jogaria,1
radical,15
desepero,1
assumido,2
publicamente,4
paixão,5
lulo,1
petismo,5
atuação,11
Lógico,9
haverá,9
limitações,2
virtude,2
constituição,10
impede,3
exista,3
perguntaram,3
coloque,7
principais,11
balança,2
elimine,1
enrolado,2
dificuldade,11
perceber,9
mto,18
cristalino,2
aliar,7
recuperar,6
credibilidade,17
cuidado,44
pisar,1
alguem,13
recolher,3
Estude,5
pouquinho,3
escola,85
Frankfurt,1
estratégia,25
